No,Day,Demand,Type
1,1,820.6861084,milk tea
2,2,468.3704271,milk tea
3,3,453.29412,milk tea
4,4,646.335687,milk tea
5,5,222.7224536,milk tea
6,6,255.1766944,milk tea
7,7,550.224152,milk tea
8,8,367.9737759,milk tea
9,9,247.9114494,milk tea
10,10,191.016603,milk tea
11,11,458.8441541,milk tea
12,12,419.6243406,milk tea
13,13,432.1697132,milk tea
14,14,190.2418413,milk tea
15,15,687.6292794,milk tea
16,16,729.289203,milk tea
17,17,384.7013576,milk tea
18,18,438.6874017,milk tea
19,19,879.897684,milk tea
20,20,427.2035226,milk tea
21,21,363.7641633,milk tea
22,22,634.6082907,milk tea
23,23,425.7788619,milk tea
24,24,490.2958023,milk tea
25,25,446.2600128,milk tea
26,26,277.9288009,milk tea
27,27,408.677279,milk tea
28,28,335.935296,milk tea
29,29,483.0578312,milk tea
30,30,257.0085828,milk tea
31,1,248.0313487,fruits tea
32,2,378.4290056,fruits tea
33,3,299.7061815,fruits tea
34,4,487.9526763,fruits tea
35,5,337.6801899,fruits tea
36,6,417.7427197,fruits tea
37,7,266.1039867,fruits tea
38,8,-48.96954885,fruits tea
39,9,357.7077861,fruits tea
40,10,257.6170645,fruits tea
41,11,509.2745744,fruits tea
42,12,335.1457629,fruits tea
43,13,400.0784717,fruits tea
44,14,308.3577864,fruits tea
45,15,266.6612386,fruits tea
46,16,132.5921915,fruits tea
47,17,164.9886492,fruits tea
48,18,297.2034785,fruits tea
49,19,52.55444636,fruits tea
50,20,512.0161501,fruits tea
51,21,494.6276854,fruits tea
52,22,39.52977054,fruits tea
53,23,210.3706875,fruits tea
54,24,498.2667888,fruits tea
55,25,349.3790931,fruits tea
56,26,2.353652935,fruits tea
57,27,258.538711,fruits tea
58,28,205.9714379,fruits tea
59,29,450.4114391,fruits tea
60,30,580.0658356,fruits tea
